,location,total_sqft,bath,price,bhk
1663,Chikkalasandra,1090.0,2.0,47.42,2
1664,Chikkalasandra,1355.0,3.0,54.2,3
1665,Chikkalasandra,1350.0,2.0,54.2,3
1666,Chikkalasandra,1325.0,2.0,59.0,2
1667,Chikkalasandra,1290.0,2.0,72.0,2
1668,Chikkalasandra,1275.0,2.0,55.46,3
1669,Chikkalasandra,1425.0,1.0,54.0,3
1670,Choodasandra,1115.0,2.0,50.0,2
1671,Choodasandra,1300.0,2.0,57.0,2
1672,Choodasandra,1530.0,3.0,77.0,3
1673,Choodasandra,1220.0,3.0,56.0,3
1674,Choodasandra,1220.0,3.0,56.0,3
1675,Choodasandra,1197.0,2.0,63.0,2
1676,Choodasandra,1465.0,3.0,75.0,3
1677,Choodasandra,1115.0,2.0,50.0,2
1678,Choodasandra,1215.0,2.0,59.0,2
1679,Choodasandra,1254.0,2.0,65.0,3
1680,Choodasandra,1580.0,3.0,105.0,3
1681,Choodasandra,725.0,2.0,36.0,2
1682,Choodasandra,1220.0,3.0,56.0,3
1683,Choodasandra,1075.0,2.0,45.0,2
1684,Choodasandra,1180.0,2.0,71.22,2
1685,Choodasandra,1140.0,2.0,62.0,2
1686,Choodasandra,1220.0,3.0,56.0,3
1687,Choodasandra,1560.0,3.0,78.0,3
1688,Choodasandra,1065.0,2.0,46.0,2
1689,Choodasandra,1115.0,2.0,50.0,2
1690,Choodasandra,1220.0,3.0,56.0,3
1691,Choodasandra,1115.0,2.0,50.0,2
1692,Cooke Town,565.0,1.0,35.0,1
1693,Cooke Town,2388.0,4.0,239.0,3
1694,Cooke Town,1710.0,2.0,200.0,2
1695,Cooke Town,2560.0,4.0,310.0,3
1696,Cooke Town,2300.0,3.0,250.0,3
1697,Cooke Town,1600.0,3.0,260.0,3
1698,Cox Town,1975.0,3.0,150.0,3
1699,Cox Town,605.0,1.0,29.0,1
1700,Cox Town,1650.0,3.0,100.0,3
1701,Cox Town,1730.0,3.0,140.0,3
1702,Cox Town,1600.0,3.0,150.0,3
1703,Cox Town,1250.0,2.0,95.0,2
1704,Cox Town,1100.0,2.0,166.0,2
1705,Cox Town,1280.0,2.0,120.0,2
1706,Cox Town,1073.0,2.0,72.0,2
1707,Cox Town,1000.0,2.0,58.0,2
1708,Cox Town,1200.0,2.0,140.0,2
1709,Cunningham Road,3875.0,3.0,864.0,3
1710,Cunningham Road,3875.0,3.0,800.0,3
1711,Cunningham Road,3815.0,3.0,763.0,3
1712,Cunningham Road,2880.0,3.0,501.0,3
1713,Cunningham Road,3489.0,3.0,662.0,3
1714,Cunningham Road,4170.0,3.0,800.0,3
1715,Cunningham Road,5108.0,5.0,995.0,4
1716,Cunningham Road,2925.0,5.0,936.0,5
1717,Cunningham Road,2700.0,3.0,501.0,3
1718,Cunningham Road,2880.0,3.0,560.0,3
1719,Dasanapura,965.0,2.0,42.5,2
1720,Dasanapura,708.0,1.0,28.32,1
1721,Dasanapura,814.0,2.0,42.0,2
1722,Dasanapura,1163.0,2.0,65.0,2
1723,Dasanapura,1286.0,2.0,68.0,3
1724,Dasanapura,708.0,2.0,31.15,2
1725,Dasanapura,814.0,2.0,53.0,2
1726,Dasanapura,966.0,2.0,58.0,2
1727,Dasanapura,814.0,2.0,43.7,2
1728,Dasarahalli,1295.0,2.0,65.0,2
1729,Dasarahalli,1520.0,2.0,75.0,3
1730,Dasarahalli,1300.0,2.0,55.0,2
1731,Dasarahalli,1901.0,3.0,119.0,3
1732,Dasarahalli,1150.0,2.0,70.0,2
1733,Dasarahalli,2100.0,3.0,120.0,3
1734,Dasarahalli,1220.0,2.0,52.0,2
1735,Dasarahalli,1375.0,2.0,60.0,2
1736,Dasarahalli,1333.0,2.0,86.65,2
1737,Dasarahalli,1333.0,2.0,78.56,2
1738,Dasarahalli,1220.0,2.0,62.0,2
1739,Dasarahalli,1160.0,2.0,49.0,2
1740,Devanahalli,3210.0,2.0,192.0,4
1741,Devanahalli,1260.0,2.0,66.78,2
1742,Devanahalli,1282.0,2.0,68.52,3
1743,Devanahalli,1360.0,2.0,65.0,2
1744,Devanahalli,1630.0,2.0,74.82,3
1745,Devanahalli,1408.0,2.0,85.0,2
1746,Devanahalli,1010.0,2.0,51.0,2
1747,Devanahalli,1080.0,2.0,53.35,2
1748,Devanahalli,1950.0,2.0,46.8,2
1749,Devanahalli,2400.0,5.0,100.0,5
1750,Devanahalli,1080.0,2.0,44.0,2
1751,Devanahalli,1282.0,2.0,52.43,3
1752,Devanahalli,1174.0,2.0,59.0,2
1753,Devanahalli,1600.0,3.0,180.0,3
1754,Devanahalli,3752.5,2.0,177.115,2
1755,Devanahalli,2400.0,5.0,190.0,4
1756,Devanahalli,1200.0,1.0,95.0,1
1757,Devanahalli,658.0,1.0,34.0,1
1758,Devanahalli,658.0,1.0,26.91,1
1759,Devanahalli,698.5,1.0,28.57,1
1760,Devanahalli,1080.0,2.0,52.0,2
1761,Devanahalli,1200.0,3.0,145.0,3
1762,Devanahalli,1700.0,3.0,88.2,3
1763,Devanahalli,1498.0,3.0,79.15,3
1764,Devanahalli,1466.0,3.0,77.59,3
1765,Devanahalli,775.0,1.0,39.0,1
1766,Devanahalli,1020.0,2.0,49.87,1
1767,Devanahalli,1045.0,2.0,48.0,2
1768,Devanahalli,1550.0,3.0,85.0,3
1769,Devanahalli,1200.0,2.0,55.08,3
1770,Devanahalli,1340.0,2.0,65.0,2
1771,Devanahalli,2125.0,3.0,107.0,3
1772,Devanahalli,1230.0,2.0,56.45,2
1773,Devanahalli,1360.0,2.0,62.425,2
1774,Devanahalli,658.0,1.0,26.91,1
1775,Devanahalli,1290.0,2.0,62.0,3
1776,Devanahalli,1010.0,2.0,58.0,2
1777,Devanahalli,1466.0,3.0,59.96,3
1778,Devanahalli,1520.0,2.0,69.76,3
1779,Devanahalli,1075.0,2.0,52.57,1
1780,Devarachikkanahalli,1250.0,2.0,44.0,3
1781,Devarachikkanahalli,1250.0,2.0,40.0,2
1782,Devarachikkanahalli,1200.0,2.0,83.0,2
1783,Devarachikkanahalli,1170.0,2.0,40.0,2
1784,Devarachikkanahalli,1230.0,2.0,58.0,2
1785,Devarachikkanahalli,1425.0,2.0,65.0,3
1786,Devarachikkanahalli,947.0,2.0,43.0,2
1787,Devarachikkanahalli,1130.0,2.0,36.0,2
1788,Devarachikkanahalli,1417.0,2.0,76.0,3
1789,Devarachikkanahalli,1230.0,2.0,58.0,2
1790,Devarachikkanahalli,1705.0,3.0,75.0,3
1791,Devarachikkanahalli,1116.0,2.0,47.0,2
1792,Devarachikkanahalli,991.0,2.0,40.0,2
1793,Devarachikkanahalli,1700.0,3.0,71.0,3
1794,Dodda Nekkundi,1260.0,2.0,55.0,2
1795,Dodda Nekkundi,850.0,2.0,28.0,2
1796,Dodda Nekkundi,1390.0,2.0,60.0,2
1797,Dodda Nekkundi,1804.0,3.0,121.0,3
1798,Dodda Nekkundi,1080.0,2.0,50.0,2
1799,Dodda Nekkundi,1999.0,3.0,132.0,3
1800,Dodda Nekkundi,1100.0,2.0,48.0,2
1801,Dodda Nekkundi,1999.0,3.0,135.0,3
1802,Dodda Nekkundi,1100.0,2.0,41.15,2
1803,Dodda Nekkundi,1252.0,2.0,71.0,3
1804,Dodda Nekkundi,1155.0,2.0,46.0,2
1805,Dodda Nekkundi,1128.0,2.0,45.0,2
1806,Dodda Nekkundi,1148.0,2.0,56.0,2
1807,Dodda Nekkundi,1435.0,3.0,57.2,3
1808,Dodda Nekkundi,1145.0,2.0,46.5,2
1809,Dodda Nekkundi,1829.0,3.0,125.0,3
1810,Dodda Nekkundi,1100.0,2.0,41.16,2
1811,Dodda Nekkundi,1100.0,2.0,46.75,2
1812,Dodda Nekkundi,1315.0,2.0,50.0,2
1813,Dodda Nekkundi,1135.0,2.0,58.0,2
1814,Dodda Nekkundi,1100.0,2.0,41.18,2
1815,Dodda Nekkundi,1370.0,2.0,60.0,2
1816,Dodda Nekkundi,1200.0,2.0,71.0,2
1817,Dodda Nekkundi,1585.0,2.0,79.0,3
1818,Dodda Nekkundi,1005.0,2.0,45.0,2
1819,Dodda Nekkundi,1264.0,2.0,52.0,2
1820,Doddaballapur,2776.0,4.0,195.0,3
1821,Doddaballapur,640.0,1.0,10.5,2
1822,Doddaballapur,2400.0,3.0,250.0,3
1823,Doddaballapur,2440.0,3.0,142.0,3
1824,Doddaballapur,2400.0,3.0,200.0,4
1825,Doddaballapur,654.0,1.0,49.0,1
1826,Doddaballapur,3206.0,5.0,270.0,4
1827,Doddakallasandra,1010.0,2.0,40.39,2
1828,Doddakallasandra,1360.0,2.0,54.39,3
1829,Doddakallasandra,1460.0,2.0,58.39,3
1830,Doddakallasandra,1360.0,2.0,54.4,3
1831,Doddakallasandra,1425.0,2.0,56.99,3
1832,Doddakallasandra,1010.0,2.0,40.39,2
1833,Doddakallasandra,1072.0,2.0,42.87,2
1834,Doddakallasandra,1010.0,2.0,40.4,2
1835,Doddakallasandra,1010.0,2.0,41.0,2
1836,Doddakallasandra,1072.0,2.0,42.87,2
1837,Doddathoguru,970.0,2.0,33.0,2
1838,Doddathoguru,1100.0,2.0,62.0,2
1839,Doddathoguru,1050.0,2.0,32.0,2
1840,Doddathoguru,850.0,2.0,25.0,2
1841,Doddathoguru,1200.0,2.0,75.0,2
1842,Doddathoguru,1030.0,2.0,42.0,2
1843,Doddathoguru,1549.0,3.0,65.0,3
1844,Doddathoguru,984.0,2.0,51.0,2
1845,Doddathoguru,1015.0,2.0,33.5,2
1846,Doddathoguru,1104.0,2.0,39.0,2
1847,Doddathoguru,915.0,2.0,32.0,2
1848,Doddathoguru,750.0,1.0,25.5,1
1849,Doddathoguru,1595.0,3.0,62.0,3
1850,Doddathoguru,855.0,2.0,32.0,2
1851,Doddathoguru,1105.0,2.0,50.0,2
1852,Doddathoguru,925.0,2.0,30.0,2
1853,Doddathoguru,1208.0,3.0,45.0,3
1854,Doddathoguru,1100.0,2.0,50.0,2
1855,Doddathoguru,940.0,2.0,32.9,2
1856,Doddathoguru,1382.0,3.0,65.0,3
1857,Doddathoguru,1107.0,2.0,44.0,2
1858,Doddathoguru,907.0,2.0,40.0,2
1859,Doddathoguru,1783.0,3.0,85.0,3
1860,Domlur,1540.0,3.0,90.0,3
1861,Domlur,1875.0,2.0,150.0,3
1862,Domlur,1429.0,3.0,86.0,3
1863,Domlur,1206.0,2.0,217.0,2
1864,Domlur,640.0,1.0,55.0,1
1865,Domlur,1050.0,2.0,85.0,2
1866,Domlur,1800.0,3.0,150.0,3
1867,Domlur,1720.0,3.0,135.0,3
1868,Domlur,1950.0,3.0,165.0,3
1869,Domlur,2180.0,3.0,285.0,3
1870,Domlur,650.0,1.0,70.0,1
1871,Domlur,780.0,1.0,70.0,1
1872,Domlur,2180.0,3.0,285.0,3
1873,Domlur,1740.0,3.0,120.0,3
1874,Domlur,1695.0,3.0,125.0,3
1875,Domlur,1246.0,2.0,95.0,2
1876,Domlur,2100.0,3.0,145.0,3
1877,Domlur,1276.0,2.0,80.0,2
1878,Domlur,1850.0,3.0,180.0,3
1879,Domlur,2955.0,3.0,235.0,3
1880,Domlur,1650.0,3.0,180.0,3
1881,Dommasandra,805.0,2.0,22.14,2
1882,Dommasandra,1033.0,2.0,25.53,3
1883,Dommasandra,1267.0,3.0,56.0,3
1884,Dommasandra,1200.0,2.0,50.0,2
1885,Dommasandra,1033.0,2.0,31.5,3
1886,Dommasandra,1153.0,2.0,43.5,2
1887,Dommasandra,1090.0,2.0,43.5,2
1888,Dommasandra,850.0,2.0,25.4,2
1889,Dommasandra,999.0,2.0,32.9,2
1890,EPIP Zone,1499.0,5.0,102.0,3
1891,EPIP Zone,1285.0,2.0,82.0,2
1892,EPIP Zone,2330.0,3.0,162.0,3
1893,EPIP Zone,1330.0,2.0,92.5,2
1894,EPIP Zone,1330.0,2.0,86.98,2
1895,EPIP Zone,1330.0,2.0,93.36,2
1896,EPIP Zone,2160.0,4.0,172.0,3
1897,EPIP Zone,1500.0,3.0,102.0,3
1898,EPIP Zone,1125.0,2.0,65.0,2
1899,EPIP Zone,1734.0,3.0,125.0,3
1900,EPIP Zone,1343.0,2.0,86.0,2
1901,EPIP Zone,2350.0,4.0,163.0,3
1902,EPIP Zone,1860.0,3.0,130.0,3
1903,EPIP Zone,2210.0,3.0,165.0,3
1904,EPIP Zone,3800.0,5.0,170.0,4
1905,EPIP Zone,2710.0,3.0,177.0,3
1906,Electronic City,660.0,1.0,23.1,2
1907,Electronic City,1025.0,2.0,47.0,3
1908,Electronic City,1000.0,2.0,28.88,2
1909,Electronic City,1530.0,2.0,45.9,3
1910,Electronic City,880.0,1.0,16.5,2
1911,Electronic City,1500.0,2.0,64.5,3
1912,Electronic City,1060.0,2.0,60.0,2
1913,Electronic City,1152.0,2.0,64.5,2
1914,Electronic City,1350.0,2.0,56.0,3
1915,Electronic City,770.0,1.0,36.0,2
1916,Electronic City,1070.0,2.0,52.0,2
1917,Electronic City,1025.0,2.0,46.0,2
1918,Electronic City,1100.0,2.0,42.0,2
1919,Electronic City,1200.0,3.0,90.0,3
1920,Electronic City,910.0,2.0,40.0,2
1921,Electronic City,1108.0,2.0,63.0,2
1922,Electronic City,1128.0,2.0,65.0,2
1923,Electronic City,1800.0,3.0,95.0,3
1924,Electronic City,630.0,1.0,34.65,1
1925,Electronic City,1128.0,2.0,63.0,2
1926,Electronic City,1599.0,3.0,125.0,3
1927,Electronic City,1599.0,3.0,99.0,3
1928,Electronic City,1125.0,2.0,32.49,2
1929,Electronic City,1094.0,2.0,42.0,2
1930,Electronic City,1070.0,2.0,55.0,2
1931,Electronic City,940.0,2.0,41.0,2
1932,Electronic City,1320.0,2.0,38.13,3
1933,Electronic City,1128.0,2.0,68.75,2
1934,Electronic City,1342.0,2.0,73.3,2
1935,Electronic City,1360.0,2.0,71.0,3
1936,Electronic City,880.0,2.0,29.0,2
1937,Electronic City,1265.0,2.0,56.93,2
1938,Electronic City,1691.0,2.0,102.0,3
1939,Electronic City,1128.0,2.0,65.49,2
1940,Electronic City,1620.0,3.0,62.0,3
1941,Electronic City,710.0,2.0,16.0,2
1942,Electronic City,1070.0,2.0,56.1,2
1943,Electronic City,2000.0,4.0,120.0,4
1944,Electronic City,890.0,2.0,45.0,2
1945,Electronic City,1128.0,2.0,65.65,2
1946,Electronic City,865.0,2.0,42.0,2
1947,Electronic City,1130.0,2.0,32.64,2
1948,Electronic City,910.0,2.0,42.0,2
1949,Electronic City,975.0,2.0,37.5,2
1950,Electronic City,1360.0,2.0,75.0,3
1951,Electronic City,770.0,1.0,40.0,2
1952,Electronic City,1128.0,2.0,64.0,2
1953,Electronic City,1070.0,2.0,54.0,2
1954,Electronic City,1025.0,2.0,29.6,2
1955,Electronic City,1571.0,3.0,89.0,3
1956,Electronic City,1111.0,3.0,50.0,3
1957,Electronic City,870.0,2.0,39.5,2
1958,Electronic City,921.0,2.0,34.0,2
1959,Electronic City,1374.0,2.0,72.0,3
1960,Electronic City,1100.0,2.0,45.0,2
1961,Electronic City,1128.0,2.0,65.35,2
1962,Electronic City,1128.0,2.0,65.0,2
1963,Electronic City,755.0,1.0,34.0,2
1964,Electronic City,1220.0,2.0,35.24,3
1965,Electronic City,4000.0,5.0,150.0,4
1966,Electronic City,1100.0,2.0,40.0,2
1967,Electronic City,1563.0,3.0,91.84,3
1968,Electronic City,1652.0,3.0,70.0,3
1969,Electronic City,1000.0,2.0,22.0,2
1970,Electronic City,1025.0,2.0,54.5,2
1971,Electronic City,1070.0,2.0,46.0,2
1972,Electronic City,1350.0,3.0,58.0,3
1973,Electronic City,1000.0,2.0,25.0,2
1974,Electronic City,1020.0,2.0,29.46,2
1975,Electronic City,1700.0,3.0,75.0,3
1976,Electronic City,1400.0,2.0,48.0,3
1977,Electronic City,1128.0,2.0,68.0,2
1978,Electronic City,700.0,1.0,35.0,1
1979,Electronic City,1360.0,2.0,70.5,3
1980,Electronic City,1150.0,2.0,38.0,2
1981,Electronic City,1571.0,3.0,105.0,3
1982,Electronic City,1090.0,2.0,31.49,2
1983,Electronic City,1089.0,2.0,45.0,2
1984,Electronic City,1110.0,2.0,40.0,2
1985,Electronic City,1600.0,3.0,104.0,3
1986,Electronic City,1130.0,2.0,32.63,2
1987,Electronic City,1500.0,2.0,100.0,3
1988,Electronic City,1440.0,2.0,55.0,3
1989,Electronic City,1156.0,2.0,44.0,3
1990,Electronic City,1400.0,2.0,40.44,3
1991,Electronic City,1152.0,2.0,65.0,2
1992,Electronic City,1070.0,2.0,60.0,2
1993,Electronic City,1128.0,2.0,65.5,2
1994,Electronic City,1200.0,2.0,59.0,2
1995,Electronic City,1152.0,2.0,65.75,2
1996,Electronic City,1225.0,3.0,45.03,3
1997,Electronic City,1070.0,2.0,55.0,2
1998,Electronic City,1060.0,2.0,58.0,2
1999,Electronic City,1025.0,2.0,54.1,2
2000,Electronic City,1105.0,2.0,35.0,3
2001,Electronic City,660.0,1.0,18.0,2
2002,Electronic City,660.0,1.0,15.0,2
2003,Electronic City,1000.0,2.0,41.0,2
2004,Electronic City,1500.0,2.0,78.0,3
2005,Electronic City,1213.0,2.0,59.32,2
2006,Electronic City,1575.0,3.0,90.0,3
2007,Electronic City,1449.0,3.0,100.0,3
2008,Electronic City,1310.0,2.0,37.83,3
2009,Electronic City,1125.0,2.0,58.0,2
2010,Electronic City,1090.0,2.0,35.03,2
2011,Electronic City,1575.0,3.0,101.0,3
2012,Electronic City,660.0,1.0,16.0,2
2013,Electronic City,919.0,2.0,40.0,2
2014,Electronic City,1500.0,2.0,78.25,3
2015,Electronic City,1363.0,2.0,79.0,2
2016,Electronic City,1156.0,2.0,42.0,2
2017,Electronic City,1020.0,2.0,29.46,2
2018,Electronic City,1108.0,2.0,67.15,2
2019,Electronic City,1160.0,2.0,33.5,2
2020,Electronic City,1128.0,2.0,65.7,2
2021,Electronic City,1170.0,2.0,33.0,2
2022,Electronic City,1060.0,2.0,51.0,2
2023,Electronic City,1410.0,2.0,38.0,3
2024,Electronic City,1650.0,3.0,100.0,3
2025,Electronic City,1020.0,2.0,29.45,2
2026,Electronic City,1025.0,2.0,49.0,2
2027,Electronic City,1000.0,2.0,29.7,2
2028,Electronic City,1449.0,3.0,90.0,3
2029,Electronic City,1065.0,2.0,30.75,2
2030,Electronic City,1070.0,2.0,58.0,2
2031,Electronic City,1210.0,2.0,54.0,2
2032,Electronic City,1500.0,2.0,75.0,3
2033,Electronic City,1033.0,2.0,28.41,3
2034,Electronic City,1070.0,2.0,52.0,2
2035,Electronic City,2435.0,4.0,119.0,4
2036,Electronic City,660.0,1.0,15.5,2
2037,Electronic City,1125.0,2.0,32.5,2
2038,Electronic City,1165.0,2.0,33.64,2
2039,Electronic City,919.0,2.0,34.0,2
2040,Electronic City,1073.0,2.0,60.0,2
2041,Electronic City,1500.0,2.0,78.0,3
2042,Electronic City,1070.0,2.0,47.0,2
2043,Electronic City,1210.0,2.0,25.0,2
2044,Electronic City,1296.0,2.0,65.0,2
2045,Electronic City,1140.0,2.0,70.93,2
2046,Electronic City,1200.0,2.0,34.65,2
2047,Electronic City,1096.0,2.0,40.55,2
2048,Electronic City,1017.0,2.0,27.0,2
2049,Electronic City,1130.0,2.0,32.63,2
2050,Electronic City,1110.0,2.0,39.95,2
2051,Electronic City,2093.0,4.0,104.0,4
2052,Electronic City,1025.0,2.0,53.9,2
2053,Electronic City,940.0,2.0,54.0,2
2054,Electronic City,1500.0,2.0,77.5,3
2055,Electronic City,1631.0,3.0,80.0,3
2056,Electronic City,1355.0,2.0,67.0,2
2057,Electronic City,1200.0,2.0,34.0,2
2058,Electronic City,1175.0,2.0,47.0,2
2059,Electronic City,1500.0,2.0,63.0,3
2060,Electronic City,1039.0,2.0,50.0,2
2061,Electronic City,770.0,1.0,39.9,2
2062,Electronic City,919.0,2.0,35.0,2
2063,Electronic City,1128.0,2.0,64.0,2
2064,Electronic City,605.0,1.0,13.31,1
2065,Electronic City,1159.0,2.0,38.0,3
2066,Electronic City,1070.0,2.0,53.0,2
2067,Electronic City,1025.0,1.0,26.63,2
2068,Electronic City,2400.0,2.0,78.0,3
2069,Electronic City,1571.0,3.0,83.0,3
2070,Electronic City,1470.0,2.0,44.1,3
2071,Electronic City,1350.0,3.0,66.0,3
2072,Electronic City,1652.0,3.0,110.0,3
2073,Electronic City,1320.0,2.0,38.12,3
2074,Electronic City,1090.0,2.0,31.48,2
2075,Electronic City,1050.0,2.0,39.0,3
2076,Electronic City,1128.0,2.0,65.58,2
2077,Electronic City,1355.0,2.0,97.6,2
2078,Electronic City,635.0,1.0,28.0,1
2079,Electronic City,1128.0,2.0,65.4,2
2080,Electronic City,1096.0,2.0,39.0,2
2081,Electronic City,1150.0,2.0,38.0,2
2082,Electronic City,1355.0,2.0,72.9,2
2083,Electronic City,1200.0,2.0,30.0,2
2084,Electronic City,1150.0,2.0,35.0,2
2085,Electronic City,1165.0,2.0,33.64,2
2086,Electronic City,1609.0,3.0,115.0,3
2087,Electronic City,770.0,1.0,35.0,2
2088,Electronic City,1020.0,2.0,29.45,2
2089,Electronic City,865.0,2.0,40.0,2
2090,Electronic City,800.0,2.0,32.0,2
2091,Electronic City,970.0,2.0,34.0,2
2092,Electronic City,1108.0,2.0,63.0,2
2093,Electronic City,1100.0,2.0,41.0,2
2094,Electronic City,975.0,2.0,32.0,2
2095,Electronic City,605.0,1.0,22.0,1
2096,Electronic City,1142.0,2.0,35.0,2
2097,Electronic City,1070.0,2.0,48.0,2
2098,Electronic City,1160.0,2.0,42.0,3
2099,Electronic City,1360.0,2.0,70.0,3
2100,Electronic City,635.0,1.0,28.0,1
2101,Electronic City,1128.0,2.0,65.45,2
2102,Electronic City,890.0,2.0,40.0,2
2103,Electronic City,1065.0,2.0,30.75,2
2104,Electronic City,1127.0,2.0,32.0,2
2105,Electronic City,825.0,2.0,35.0,2
2106,Electronic City,1200.0,2.0,40.5,2
2107,Electronic City,1360.0,2.0,58.0,3
2108,Electronic City,1400.0,2.0,40.45,3
2109,Electronic City,1065.0,2.0,30.76,2
2110,Electronic City,630.0,1.0,33.7,1
2111,Electronic City,1025.0,2.0,29.61,2
2112,Electronic City,1160.0,2.0,42.0,3
2113,Electronic City,660.0,1.0,16.5,2
2114,Electronic City,1400.0,3.0,90.0,3
2115,Electronic City,1287.0,3.0,55.0,3
2116,Electronic City,1258.0,2.0,85.5,2
2117,Electronic City,1386.0,2.0,85.0,2
2118,Electronic City,1025.0,2.0,50.0,2
2119,Electronic City,1140.0,2.0,33.84,2
2120,Electronic City,1070.0,2.0,55.0,2
2121,Electronic City,1342.0,2.0,72.0,2
2122,Electronic City,1275.0,3.0,70.0,3
2123,Electronic City,770.0,1.0,38.0,2
2124,Electronic City,1200.0,2.0,34.65,2
2125,Electronic City,1005.0,2.0,39.77,2
2126,Electronic City,1110.0,2.0,39.9,2
2127,Electronic City,660.0,1.0,23.0,2
2128,Electronic City,1644.0,3.0,92.59,3
2129,Electronic City,1250.0,2.0,62.0,2
2130,Electronic City,1020.0,2.0,30.27,2
2131,Electronic City,1025.0,2.0,29.6,2
2132,Electronic City,1128.0,2.0,64.8,2
2133,Electronic City,1220.0,2.0,35.25,3
2134,Electronic City,1220.0,2.0,35.23,3
2135,Electronic City,1060.0,2.0,55.0,2
2136,Electronic City,710.0,1.0,40.42,1
2137,Electronic City,1000.0,2.0,29.95,2
2138,Electronic City,870.0,2.0,24.0,2
2139,Electronic City,1275.0,3.0,63.43,3
2140,Electronic City,1518.0,3.0,75.0,3
2141,Electronic City,1090.0,2.0,31.48,1
2142,Electronic City,1140.0,2.0,32.92,2
2143,Electronic City,1125.0,2.0,32.49,2
2144,Electronic City,1060.0,2.0,55.0,2
2145,Electronic City,1200.0,2.0,34.66,2
2146,Electronic City,1353.0,2.0,75.0,2
2147,Electronic City,660.0,1.0,18.0,2
2148,Electronic City,1128.0,2.0,67.0,2
2149,Electronic City,1070.0,2.0,57.0,2
2150,Electronic City,1700.0,3.0,90.0,3
2151,Electronic City,1521.0,2.0,57.5,3
2152,Electronic City,750.0,1.0,35.0,1
2153,Electronic City,1210.0,2.0,55.0,2
2154,Electronic City,1070.0,2.0,60.0,2
2155,Electronic City,1400.0,2.0,40.44,3
2156,Electronic City,1190.0,2.0,42.0,2
2157,Electronic City,880.0,2.0,19.0,2
2158,Electronic City,1150.0,2.0,38.08,2
2159,Electronic City,1615.0,3.0,97.0,3
2160,Electronic City,1165.0,2.0,33.65,2
2161,Electronic City,1221.0,2.0,68.0,2
2162,Electronic City,970.0,2.0,35.0,2
2163,Electronic City,1500.0,3.0,73.0,3
2164,Electronic City,995.0,2.0,48.0,2
2165,Electronic City,1342.0,2.0,90.0,2
2166,Electronic City,1320.0,2.0,38.12,3
2167,Electronic City,1128.0,2.0,63.5,2
2168,Electronic City,1125.0,2.0,28.13,2
2169,Electronic City,825.0,2.0,30.0,2
2170,Electronic City,1575.0,3.0,94.5,3
2171,Electronic City,1070.0,2.0,48.0,2
2172,Electronic City,1025.0,2.0,54.0,2
2173,Electronic City,1500.0,2.0,70.0,3
2174,Electronic City,1500.0,2.0,64.5,3
2175,Electronic City,1140.0,2.0,32.93,2
2176,Electronic City,2093.0,4.0,134.0,4
2177,Electronic City,750.0,2.0,19.5,2
2178,Electronic City,1355.0,2.0,73.0,2
2179,Electronic City,1360.0,2.0,64.99,3
2180,Electronic City,1060.0,2.0,52.0,2
2181,Electronic City Phase II,1056.0,2.0,39.07,2
2182,Electronic City Phase II,1020.0,2.0,30.6,2
2183,Electronic City Phase II,1069.0,2.0,45.0,2
2184,Electronic City Phase II,1220.0,2.0,35.23,3
2185,Electronic City Phase II,1000.0,2.0,25.0,2
2186,Electronic City Phase II,1090.0,2.0,28.34,2
2187,Electronic City Phase II,2225.0,4.0,98.88,4
2188,Electronic City Phase II,1400.0,2.0,40.43,3
2189,Electronic City Phase II,775.0,2.0,38.0,2
2190,Electronic City Phase II,1266.0,2.0,59.0,2
2191,Electronic City Phase II,1000.0,2.0,28.88,2
2192,Electronic City Phase II,1320.0,2.0,38.13,3
2193,Electronic City Phase II,1220.0,3.0,35.23,3
2194,Electronic City Phase II,972.0,2.0,44.0,2
2195,Electronic City Phase II,1400.0,2.0,40.43,3
2196,Electronic City Phase II,1031.0,2.0,55.0,2
2197,Electronic City Phase II,1003.0,2.0,40.6,2
2198,Electronic City Phase II,1031.0,2.0,56.35,2
2199,Electronic City Phase II,1320.0,2.0,38.12,3
2200,Electronic City Phase II,1205.0,2.0,75.0,2
2201,Electronic City Phase II,1395.0,2.0,62.78,3
2202,Electronic City Phase II,1160.0,2.0,33.5,2
2203,Electronic City Phase II,1065.0,2.0,30.75,2
2204,Electronic City Phase II,1219.0,2.0,61.25,2
2205,Electronic City Phase II,1400.0,2.0,41.58,3
2206,Electronic City Phase II,1000.0,2.0,28.88,2
2207,Electronic City Phase II,1790.0,3.0,100.0,3
2208,Electronic City Phase II,1400.0,2.0,40.43,3
2209,Electronic City Phase II,900.0,2.0,32.5,2
2210,Electronic City Phase II,1329.0,2.0,41.0,3
2211,Electronic City Phase II,1220.0,3.0,35.23,3
2212,Electronic City Phase II,993.0,2.0,50.0,3
2213,Electronic City Phase II,1418.0,3.0,52.47,3
2214,Electronic City Phase II,1070.0,2.0,45.0,2
2215,Electronic City Phase II,1310.0,2.0,32.75,3
2216,Electronic City Phase II,1310.0,2.0,37.83,3
2217,Electronic City Phase II,1140.0,2.0,33.06,2
2218,Electronic City Phase II,1089.0,2.0,32.67,2
2219,Electronic City Phase II,1031.0,2.0,55.0,2
2220,Electronic City Phase II,1253.0,2.0,65.8,2
2221,Electronic City Phase II,1400.0,2.0,40.44,3
2222,Electronic City Phase II,1160.0,2.0,33.5,2
